,city,job_title,company_name,location,summary,rating
69,Dallas,Data Center Operations Engineer,Verizon,N/A,Strong knowledge of data center systems and electrical power.,3.9
70,Dallas,Senior Data Engineer,Kaygen,"Dallas, TX","Build and Design end to end data pipeline using Amazon AWS, Spark and Snowflake data warehouse.",3.0
71,Dallas,Senior Data Engineer,mroads,N/A,"In depth knowledge about data warehousing (data acquisition, data management and data consumption) and Cloud data Platform ETL Design on assigned projects.",3.2
72,Dallas,Data Engineer,Next Level Technology Inc.,N/A,Experience in SQL (ANSI)/PL-SQL.,N/A
73,Dallas,Big Data Support Engineer,"Amazon Web Services, Inc.",N/A,"As a Support Engineer, you will work closely with multiple data platform teams focussed on data engineering, analytics, orchestration, ETL tools to build highly…",3.5
74,Dallas,Data Engineer,TCS,N/A,Performance & Cost optimization experience for data processing using PySprak on cloud infrastructure.,3.8
75,Dallas,Snowflake Data Engineer w/ Snowpro Certification-100% Remote,Hexar It Solutions Inc.,N/A,2+ Years of Snowflake Experience.,N/A
76,Denver,Junior Data Engineer,AimHire,"Denver, CO",Embed reporting and data visualizations within the application.,4.4
77,Denver,Associate Data Engineer,SalesPage Technologies,United States,"Innovating on new data processing techniques to improve accuracy, including data science techniques.",N/A
78,Denver,Data Engineer,TEKsystems,"Greenwood Village, CO 80110",Able to have a relationship with the data and articulate insights from the data to the visualization teams.,3.9
79,Denver,Data Engineer,CyberCoders,"Denver, CO 80238",Enhancing the data pipeline and platform using architectural and design patterns such as data lake.,3.3
80,Denver,Data Center Engineer I,"JPMorgan Chase Bank, N.A.",N/A,"Desire to develop a working knowledge of change management, corporate IT audit processes, IT risk management, technical problem resolution, operations systems…",3.9
81,Denver,Data Engineer,AirDNA,N/A,"The ideal candidate enjoys data wrangling, optimizing data pipelines, and building solutions for data collections and analysis.",N/A
82,Denver,Engineer I - Data Scientist,Ball Aerospace,N/A,Contribute as part of a team to fulfill MPA’s objectives through advanced data analytics and the development of qualitative and quantitative models to extract…,3.8
83,Denver,Data Engineer,Pie Insurance,N/A,3-5 years working in data as an engineer.,N/A
84,Denver,Data Engineer,LOCKHEED MARTIN CORPORATION,N/A,Work with Space data and SAP teams as well as the corporate Data Analytics COE to support data mining and analysis of best practices.,4.0
85,Denver,Sr. Data Engineer,Conga,N/A,Design and code data pipeline features and data processing jobs for collecting automotive data from disparate systems for the purpose of storing in a data…,3.6
86,Denver,Data Engineer,Inspirato,N/A,"Experience leveraging cloud-based data platforms and tools from Azure, AWS, Google to implement data solutions.",3.5
87,Denver,Data Engineer,DISH Network,N/A,"Minimum of 5 years of experience delivering data solutions on a variety of data warehousing, big data and cloud data platforms.",3.2
88,Denver,Data Science Engineer,WorkBoard,N/A,Experience creating an Events framework to enable better data analytics.,N/A
89,Denver,Data Engineer Asc,LOCKHEED MARTIN CORPORATION,N/A,"Collaborate with data architects, data scientists, data analysts, and system engineers to develop a solution across the entire data processing pipeline.",4.0
90,Denver,Data Engineer,Kin + Carta,N/A,"Collaborating with experienced data engineers, data scientists, and data architects to foster personal and team growth.",N/A
91,Hartford,Associate Data Engineer,SalesPage Technologies,United States,"Innovating on new data processing techniques to improve accuracy, including data science techniques.",N/A
92,Hartford,Data Engineer Manager - Healthcare,EXL Services,N/A,"Build the infrastructure for optimal extraction, transformation and loading data from a wide variety of data sources using big data technologies.",3.8
93,Hartford,Software and Data Engineer - Telecommute,UnitedHealth Group,N/A,"Building and supporting required infrastructure for optimal extraction, transformation and loading of data from various data sources.",3.7
94,Hartford,Data Engineer,The Hartford,N/A,"Position will design, develop, and maintain large scale data assets across data warehouses, data marts, and data processes, leveraging next generation data and…",3.7
95,Hartford,Data Engineer,CVS Health,N/A,Aetna data engineers work with data scientists side by side to optimize our ability to engage with members to help them make better healthcare decisions via…,3.3
96,Hartford,Data Engineer - Healthcare,EXL Services,N/A,"Build the infrastructure for optimal extraction, transformation and loading data from a wide variety of data sources using big data technologies.",3.8
97,Hartford,Sr Data Engineer,The Hartford,N/A,Strong data warehouse applications knowledge in financial/insurance domain.,3.7
98,Hartford,Data Engineer,Slalom Consulting,N/A,You bring 3+ years of data engineering and/or data warehousing experience.,3.7
99,Hartford,End User Data Engineer - SQL - Telecommute,UnitedHealth Group,N/A,"3+ years of experience using various data models (Star Schema, Hierarchical and Relational).",3.7
100,Hartford,Data Engineer Analyst / Developer,Travelers,N/A,"Understand core data management competencies - data governance, data security, data quality.",3.7
101,Hartford,Senior Data Engineer - Operations Data and Analytics,Travelers,N/A,This position will work with data across many Travelers' systems to create strategic data solutions in public cloud as well as on-premise environments.,3.7
102,Hartford,Sr. Data Engineer / Sr. Data Modeler,The Hartford,N/A,Familiarity of data mining software and tools for analysis of large amounts of data to identify business data relationships and data patterns;,3.7
103,Hartford,Talend Data Migration Engineer,Accenture,N/A,"Develop data ingestion, data processing, and analytical pipelines for big data, data warehouses, relational, and NoSQL data solutions.",4.0
104,Hartford,Data Engineer,Accenture,N/A,Experience working with large data sets in distributed data environments.,4.0
105,Hartford,Data Engineer,Travelers,N/A,Creates moderate (technology and features) data visualization techniques to help support data exploration.,3.7
106,Atlanta,Associate Data Engineer,SalesPage Technologies,United States,"Innovating on new data processing techniques to improve accuracy, including data science techniques.",N/A
107,Atlanta,Data Engineer,TargetCW,"Atlanta, GA","Maintain a high level of trust in these data sets: keep existing data sources fresh against changing requirements, definitions, and data quality issues.",3.7
108,Atlanta,Network Engineer - Data Telecom,Skiltrek,"Atlanta, GA","Responsibilities may include evaluation, acquisition, design, installation, integration testing, upgrading components, operational support and performance…",N/A
109,Atlanta,Big Data Engineer,"Open Systems, Inc.","Atlanta, GA","3+ years of experience building, testing, and optimizing ‘Big Data’ data ingestion pipelines, architectures and data sets.",N/A
110,Atlanta,Data Engineer,Intercontinental Exchange,N/A,"Experience in data analysis, data cleansing, and data transformation (parsing, mapping, and serialization processes).",3.4
111,Atlanta,Analyst - Data Engineer (December 2020 - May 2021 Graduates),McKinsey & Company,N/A,"In this role, you will be a hands-on technologist who connects and models complex distributed data sets to build repositories such as data warehouses and data…",4.3
112,Atlanta,Data Engineer I/II,DriveCentric,N/A,Onboard new customers by scrubbing data and importing from multiple data sources.,4.0
113,Atlanta,Junior Data Engineer (AWS),Invesco,N/A,"1-2 years of experience in data modeling, data warehousing, and big data architectures.",3.9
114,Atlanta,Digital Data Engineer,Synovus,N/A,Designs data integrations and data quality framework and works closely with internal partners to develop strategy for long term data platform architecture.,3.4
115,Atlanta,Junior Data Engineer,Invesco,N/A,Experience in data warehousing concepts.,3.9
116,Atlanta,Data Engineer,Advanced Tech Placement,N/A,"The ideal candidate is an experienced data engineer with strong Python skills, who enjoys optimizing data systems and building internal data pipelines/APIs from…",N/A
117,Atlanta,Data Engineer,Expedite Technologies Solutions,N/A,Big data: 4 years (Required).,N/A
118,Atlanta,Data Engineer (x2 Openings),Rev.io,N/A,"Gain exposure to large customer data sets involved in product migrations, and responsible for helping data flow into Rev.io from legacy customer systems.",N/A
119,Atlanta,Sr. Data Engineer 10+ yrs Required,Digital Dhara,N/A,Should be able to configure pipelines to ingest data from data sources to the data platform.,N/A
120,Atlanta,"Field Engineer, Global Data Center Connectivity",Facebook,N/A,"Experience analyzing, understanding, and interpreting data.",4.2
